brand,category,model,price_inr,segment,ram_gb,storage_gb,processor,source_url,collection_date,data_status,verification_notes,rating,review_count,discount_pct,mrp_inr
Dell,Laptop,Inspiron 15 3530,61990,Mid-Range (₹50K–₹80K),8,512,Intel Core i5-1334U,https://www.smartprix.com/laptops/dell-inspiron-3530-oin353034011rinb1m-laptop-ppd1dmi2vjid,2026-09-16,Source Checked - Configuration and Price Match,"Smartprix lists the matching configuration: Intel Core i5-1334U, 8GB RAM, 512GB SSD, and price INR 61,990. Price and specifications should be rechecked before final publication.",,,,
Dell,Laptop,Inspiron 3530 (16GB/1TB),73990,Mid-Range (₹50K–₹80K),16,1024,Intel Core i5-1334U,https://www.smartprix.com/laptops/dell-3530-inspiron-15-laptop-13th-gen-core-ppd17f4yygl8,2026-09-16,Source Checked - Configuration and Price Match,"Smartprix lists the matching configuration: Intel Core i5-1334U, 16GB RAM, 1TB SSD, and price INR 73,990. Price and specifications should be rechecked before final publication.",,,,
Lenovo,Laptop,IdeaPad Slim 3 15IRH10 (83K100CGIN),75210,Mid-Range (₹50K–₹80K),16,512,Intel Core i5-13420H,https://www.smartprix.com/laptops/lenovo_ideapad_slim_3_83k100cg_vs_lenovo_ideapad_slim_3_15irh10_-cpd1vrsm7r9t_pd1cngiyyzl.php,2026-09-16,Source Checked - Price Discrepancy,"Smartprix lists the matching processor, RAM, and storage. Referenced price: INR 72,800. Dataset price: INR 75,210. Price discrepancy and availability require review.",,,,
HP,Laptop,OmniBook 3 14-hu0062TU,89999,Premium (₹80K–₹120K),16,512,Intel Core 5 120U,https://www.hp.com/in-en/shop/products/laptops/hp-omnibook-3-laptop-14-hu0062tu-dw0r1pa-acj,2026-09-16,Source Checked - Configuration and Price Match,"Official HP India listing confirms Intel Core 5 120U, 16GB RAM, 512GB SSD, and price INR 89,999. Product was shown as in stock during the source check. Price and availability may change.",,,,
Lenovo,Laptop,IdeaPad Slim 3 15IAH8 (83ER008GIN),60490,Mid-Range (₹50K–₹80K),16,512,Intel Core i5,https://store.lenovo.com/in/en/nb-ip-slim-3-15iah8-i5-16g-512g-11s-83er008gin-1527.html,2026-09-16,Source Captured - Independent Validation Required,Price and configuration captured from Lenovo India store listing. Availability and current price require rechecking.,,,20.0,75491.0
Dell,Laptop,Inspiron 15 3535,69333,Mid-Range (₹50K–₹80K),16,512,AMD Ryzen 5 7530U,https://www.smartprix.com/laptops/dell-inspiron-15-3535-laptop-amd-ryzen-r5-ppd1chdo3kuc,2026-09-16,Source Captured - Independent Validation Required,Price and configuration captured from Smartprix. Independent validation of price and availability required.,,,,
Lenovo,Laptop,IdeaPad Slim 3 83K100CJIN,94990,Premium (₹80K–₹120K),16,512,13th Gen Intel Core i7,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
ASUS,Laptop,Vivobook 15 X1504ZA-NJ521WS,39990,Budget (<₹50K),8,512,12th Gen Intel Core i5,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
Acer,Laptop,Aspire 3 A324-53,49990,Budget (<₹50K),16,512,13th Gen Intel Core i5,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
HP,Laptop,Victus 15-fb3125AX,82494,Premium (₹80K–₹120K),16,512,AMD Ryzen 7 7445H,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
ASUS,Laptop,TUF Gaming A15 FA566NCR-HN075W,64990,Mid-Range (₹50K–₹80K),16,512,AMD Ryzen 7 7435HS,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
ASUS,Laptop,Vivobook S14 S3407CA-LY084WS,103990,Premium (₹80K–₹120K),16,512,Intel Core Ultra 7 255H,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
Acer,Laptop,Aspire Lite AL15-42,49990,Budget (<₹50K),8,512,AMD Ryzen 3 7330U,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
Acer,Laptop,Aspire Lite AL15-42 256GB,44990,Budget (<₹50K),8,256,AMD Ryzen 3 7330U,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
Dell,Laptop,Pro 14 PC14250,109990,Premium (₹80K–₹120K),16,512,Intel Core 7 150U,https://www.smartprix.com/laptops/,2026-09-16,Source Captured - Validation Required,Batch-captured from publicly listed laptop price references. Product-specific source and current price require validation.,,,,
