brand,model,price_inr,segment,ram_gb,storage_gb
ASUS,Vivobook 15 X1504ZA-NJ521WS,39990,Budget (<₹50K),8,512
Acer,Aspire Lite AL15-42 256GB,44990,Budget (<₹50K),8,256
Acer,Aspire 3 A324-53,49990,Budget (<₹50K),16,512
Acer,Aspire Lite AL15-42,49990,Budget (<₹50K),8,512
ASUS,TUF F17 FX706HF-NY040W,50990,Mid-Range (₹50K–₹80K),16,512
Lenovo,IdeaPad Slim 3 15IAH8 (83ER008GIN),60490,Mid-Range (₹50K–₹80K),16,512
Dell,Inspiron 15 3530,61990,Mid-Range (₹50K–₹80K),8,512
ASUS,TUF Gaming A15 FA566NCR-HN075W,64990,Mid-Range (₹50K–₹80K),16,512
Acer,Swift Neo 14,67999,Mid-Range (₹50K–₹80K),16,512
Dell,Inspiron 15 3535,69333,Mid-Range (₹50K–₹80K),16,512
ASUS,Vivobook 15 2026,70990,Mid-Range (₹50K–₹80K),16,512
Dell,Inspiron 3530 (16GB/1TB),73990,Mid-Range (₹50K–₹80K),16,1024
Lenovo,IdeaPad Slim 3 15IRH10 (83K100CGIN),75210,Mid-Range (₹50K–₹80K),16,512
HP,Victus 15-fb3125AX,82494,Premium (₹80K–₹120K),16,512
HP,OmniBook 3 14-hu0062TU,89999,Premium (₹80K–₹120K),16,512
Lenovo,IdeaPad Slim 3 83K100CJIN,94990,Premium (₹80K–₹120K),16,512
ASUS,Vivobook S14 S3407CA-LY084WS,103990,Premium (₹80K–₹120K),16,512
Dell,Pro 14 PC14250,109990,Premium (₹80K–₹120K),16,512
HP,OmniBook 5 16-af1109TU,112990,Premium (₹80K–₹120K),16,1024
Lenovo,Yoga Slim 7 14ILL10,139990,High-End (₹120K+),16,512
Lenovo,LOQ 15IRX10,202990,High-End (₹120K+),16,512
