brand,model,price_inr,ram_gb,price_per_ram_gb
Acer,Aspire 3 A324-53,49990,16,3124.38
ASUS,TUF F17 FX706HF-NY040W,50990,16,3186.88
Lenovo,IdeaPad Slim 3 15IAH8 (83ER008GIN),60490,16,3780.62
ASUS,TUF Gaming A15 FA566NCR-HN075W,64990,16,4061.88
Acer,Swift Neo 14,67999,16,4249.94
Dell,Inspiron 15 3535,69333,16,4333.31
ASUS,Vivobook 15 2026,70990,16,4436.88
Dell,Inspiron 3530 (16GB/1TB),73990,16,4624.38
Lenovo,IdeaPad Slim 3 15IRH10 (83K100CGIN),75210,16,4700.62
ASUS,Vivobook 15 X1504ZA-NJ521WS,39990,8,4998.75
HP,Victus 15-fb3125AX,82494,16,5155.88
Acer,Aspire Lite AL15-42 256GB,44990,8,5623.75
HP,OmniBook 3 14-hu0062TU,89999,16,5624.94
Lenovo,IdeaPad Slim 3 83K100CJIN,94990,16,5936.88
Acer,Aspire Lite AL15-42,49990,8,6248.75
ASUS,Vivobook S14 S3407CA-LY084WS,103990,16,6499.38
Dell,Pro 14 PC14250,109990,16,6874.38
HP,OmniBook 5 16-af1109TU,112990,16,7061.88
Dell,Inspiron 15 3530,61990,8,7748.75
Lenovo,Yoga Slim 7 14ILL10,139990,16,8749.38
Lenovo,LOQ 15IRX10,202990,16,12686.88
