brand,model,price_inr,ram_gb,storage_gb,processor,category,segment,source_url,collection_date,data_status,verification_notes,rating,review_count,discount_pct,mrp_inr
Samsung,Galaxy Book4,69990,Not specified,Not specified,Intel Core i5 13th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,Vivobook 15 Core i3,46990,Not specified,Not specified,Intel Core i3 13th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,IdeaPad Slim 3,48490,Not specified,Not specified,Not specified,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Acer,Aspire Lite Ryzen 3 7330U,51890,Not specified,Not specified,AMD Ryzen 3 7330U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,Vivobook 15 Core 3,59690,Not specified,Not specified,Intel Core 3,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
MSI,Modern 15,51990,Not specified,Not specified,Intel Core i5-1335U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
HP,15-fd1095tu,47500,Not specified,Not specified,Intel Core 3 100U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Dell,LDC15250-7339SLV-PUS,82990,Not specified,Not specified,Intel Core i7-1355U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,LOQ 12th Gen,65990,Not specified,Not specified,Intel 12th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,Vivobook Go 15 E1504FA-BQ2490WS,48990,Not specified,Not specified,AMD Ryzen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,TUF Gaming A15 FA506NCG-HN200WS,98990,Not specified,Not specified,AMD Ryzen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Acer,Aspire One A114-43,41536,Not specified,256,AMD Ryzen 3 7320U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,IdeaPad Slim 3 83ERXA,47500,Not specified,Not specified,Not specified,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
HP,15-fc0782AU,69690,Not specified,Not specified,AMD Ryzen 5,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Dell,15.6-inch i7-1355U,73990,Not specified,Not specified,Intel Core i7-1355U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,LOQ 15IRX9 83DV01H1IN,123990,Not specified,Not specified,Intel Core,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,LOQ 15IAX9,69990,Not specified,Not specified,Intel Core i5 12th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
HP,HP 15 Ryzen 5,54940,Not specified,Not specified,AMD Ryzen 5,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,TUF F16 FX608JMR-RV049WS,173990,Not specified,Not specified,Intel Core i7 14th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,TUF F16 FX677VU-RL055WS,108990,Not specified,Not specified,Intel Core 5,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,V16 V3607VU-RP550WS,77800,Not specified,Not specified,Intel Core 5,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
HP,15 Ryzen 5 7520U,59990,Not specified,Not specified,AMD Ryzen 5 7520U,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
HP,15-fc0154AU,31900,Not specified,Not specified,Not specified,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Acer,Aspire 14 Core 5 210H,65990,Not specified,Not specified,Intel Core 5 210H,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
ASUS,Vivobook 16 Core Ultra 5,62990,Not specified,Not specified,Intel Core Ultra 5,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,IdeaPad Slim 3 15IRU8,49999,Not specified,Not specified,Intel Core i3 13th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,IdeaPad Slim 3 Ryzen 5,64690,Not specified,Not specified,AMD Ryzen 5,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
MSI,Thin 15,101899,Not specified,Not specified,Intel Core 13th Gen,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Acer,Aspire 5 Core Ultra 5 125H,62280,Not specified,Not specified,Intel Core Ultra 5 125H,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
Lenovo,Legion 5 15AHP10,158990,Not specified,Not specified,AMD Ryzen 7,Laptop,Unclassified,Shopping search result; product-specific URL required,2026-09-16,Source Captured - Validation Required,"Price/model captured from shopping search results. RAM, storage and product-specific URL require independent validation.",,,,
