brand,model,price_inr,ram_gb,storage_gb,value_score
Dell,Inspiron 3530 (16GB/1TB),73990,16,1024,86.21
HP,OmniBook 5 16-af1109TU,112990,16,1024,80.62
Acer,Aspire 3 A324-53,49990,16,512,79.0
ASUS,TUF F17 FX706HF-NY040W,50990,16,512,78.53
Lenovo,IdeaPad Slim 3 15IAH8 (83ER008GIN),60490,16,512,74.83
ASUS,TUF Gaming A15 FA566NCR-HN075W,64990,16,512,73.46
Acer,Swift Neo 14,67999,16,512,72.64
Dell,Inspiron 15 3535,69333,16,512,72.3
ASUS,Vivobook 15 2026,70990,16,512,71.9
Lenovo,IdeaPad Slim 3 15IRH10 (83K100CGIN),75210,16,512,70.95
HP,Victus 15-fb3125AX,82494,16,512,69.54
HP,OmniBook 3 14-hu0062TU,89999,16,512,68.33
Lenovo,IdeaPad Slim 3 83K100CJIN,94990,16,512,67.63
ASUS,Vivobook S14 S3407CA-LY084WS,103990,16,512,66.54
Dell,Pro 14 PC14250,109990,16,512,65.91
ASUS,Vivobook 15 X1504ZA-NJ521WS,39990,8,512,65.0
Lenovo,Yoga Slim 7 14ILL10,139990,16,512,63.57
Lenovo,LOQ 15IRX10,202990,16,512,60.91
Acer,Aspire Lite AL15-42,49990,8,512,59.0
Dell,Inspiron 15 3530,61990,8,512,54.35
Acer,Aspire Lite AL15-42 256GB,44990,8,256,54.17
